Species,Common_name,Abb,qWkg,LogqWkg,Mg,LogMg,Src,qW
Acanthisitta chloris,Rifleman,acaChl,,,,,,
Anas platyrhynchos,Peking_duck,anaPla,4,0.601,1020,3.009,G,4080
Antrostomus carolinensis,Chuck-will's-widow,capCar,,,,,,
Apaloderma vittatum,Bar-tailed_trogon,apaVit,,,,,,
Aptenodytes forsteri,Emperor_penguin,aptFor,,,,,,
Balearica regulorum,Grey-crowned_crane,balReg,,,,,,
Buceros rhinoceros,Rhinoceros_hornbill,bucRhi,,,,,,
Calypte anna,Anna's_hummingbird,calAnn,,,,,,
Cariama cristata,Red-legged_seriema,carCri,,,,,,
Cathartes aura,Turkey_vulture,catAur,,,,,,
Chaetura pelagica,Chimney_swift,chaPel,,,,,,
Charadrius vociferus,Killdeer,chaVoc,,,,,,
Chlamydotis macqueenii,Macqueen's_bustard,chlMac,,,,,,
Colius striatus,Speckled_mousebird,colStr,4.6,0.665,51,1.708,MW,234.6
Columba livia,Pigeon,colLiv,4.5,0.654,368,2.566,G,1656
Corvus brachyrhynchos,American_crow,corBra,8.5,0.931,384.8,2.585,MW,3270.8
Cuculus canorus,Common_cuckoo,cucCan,7.5,0.876,111.6,2.048,G,837
Egretta garzetta,Little_egret,egrGar,,,,,,
Eurypyga helias,Sunbittern,eurHel,,,,,,
Falco peregrinus,Peregrine_falcon,falPer,,,,,,
Fulmarus glacialis,Northern_fulmar,fulGla,,,,,,
Gallus gallus,Chicken,galGal,2.2,0.346,2710,3.433,MW,5962
Gavia stellata,Red-throated_loon,gavSte,,,,,,
Geospiza fortis,Medium_ground-finch,geoFor,,,,,,
Haliaeetus albicilla,White-tailed_eagle,halAlb,,,,,,
Haliaeetus leucocephalus,Bald_eagle,halLeu,,,,,,
Leptosomus discolor,Cuckoo-roller,lepDis,,,,,,
Manacus vitellinus,Golden-collared_manakin,manVit,15,1.175,15.5,1.19,MW,232.5
Meleagris gallopavo,Turkey,melGal,,,,,,
Melopsittacus undulatus,Budgerigar,melUnd,9.8,0.992,33.6,1.526,G,329.28
Merops nubicus,Carmine_bee-eater,merNub,,,,,,
Mesitornis unicolor,Brown_mesite,mesUni,,,,,,
Nestor notabilis,Kea,nesNot,,,,,,
Nipponia nippon,Crested_ibis,nipNip,,,,,,
Opisthocomus hoazin,Hoatzin,ophHoa,,,,,,
Pelecanus crispus,Dalmatian_pelican,pelCri,,,,,,
Phaethon lepturus,White-tailed_tropicbird,phaLep,,,,,,
Phalacrocorax carbo,Great_cormorant,phaCar,4.1,0.616,1330,3.124,MW,5453
Phoenicopterus ruber,American_flamingo,phoRub,5,0.701,3040,3.483,MW,15200
Picoides pubescens,Downy_woodpecker,picPub,17.7,1.247,21.7,1.336,MW,384.09
Podiceps cristatus,Great-crested_grebe,podCri,,,,,,
Pterocles gutturalis,Yellow-throated_sandgrouse,pteGut,,,,,,
Pygoscelis adeliae,Adelie_penguin,pygAde,3.1,0.489,3970,3.599,MW,12307
Struthio camelus,Common_ostrich,strCam,0.6,-0.2,100000,5,MW,60000
Taeniopygia guttata,Zebra_finch,taeGut,,,,,,
Tauraco erythrolophus,Red-crested_turaco,tauEry,,,,,,
Tinamus guttatus,White-throated_tinamou,tinGut,,,,,,
Tyto alba,Barn_owl,tytAlb,,,,,,
